三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称
MBY25-4106,2.28,0.91,0,0.07,,2025/12/12 16:00,3.26,深圳分公司,深圳富顺电子商务有限公司
MAZ25-3585,6.3,0.97,0,11.84,,2025/11/28 16:00,19.11,深圳分公司,深圳市金稻田物业管理有限公司
MAZ25-4200,0.26,1,0,0,,2025/12/18 16:00,1.26,深圳分公司,深圳华业物业管理有限公司
MAZ25-3880,1.21,1.05,0,1.7,,2025/11/28 16:00,3.96,深圳分公司,中华人民共和国深圳海关
MBY25-3776,9.18,1.77,0,0,,2025/12/2 16:00,10.95,深圳分公司,深圳市前海建设投资控股集团有限公司
MAZ25-3783,6.31,1.98,0,0,,2025/11/28 16:00,8.29,深圳分公司,深圳市岗宏集团有限公司
MAZ25-3909,3.14,2.84,0,0.13,,2025/12/4 16:00,6.11,深圳分公司,深圳市金稻田物业管理有限公司
MAZ25-3699,10.07,3.14,0,0,,2025/12/1 16:00,13.21,深圳分公司,深圳市高发物业管理服务有限公司
MAZ25-4216,0.98,0,0.01,0.26,,2025/12/19 16:00,1.25,深圳分公司,深圳市城建产业园发展有限公司
MAZ25-4192,3.07,0.12,0.01,1.1,,2025/12/23 16:00,4.3,深圳分公司,深圳市艺菱机电设备有限公司
MBY25-4015,3.23,0.74,0.01,0,,2025/12/9 16:00,3.98,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-3805,8.11,0.2,0.66,2,,2025/12/3 16:00,10.97,深圳分公司,深圳市前海建设投资控股集团有限公司
MAZ25-3841,6.23,0.07,0.69,0,,2025/12/1 16:00,6.99,深圳分公司,深圳市吉达电梯工程有限公司
MBY25-3932,1.21,0.05,0.7,0,,2025/12/1 16:00,1.96,深圳分公司,深圳市赋景科贸有限公司
MBY25-3930,1.21,0.05,0.71,0,,2025/12/1 16:00,1.97,深圳分公司,深圳市舒达电梯工程有限公司
MBY25-4148,2.14,0.79,1.02,0,,2025/12/17 16:00,3.95,深圳分公司,华润（深圳）有限公司
MAZ25-4262,0.23,0.69,1.03,0,,2025/12/25 16:00,1.95,深圳分公司,中海物业管理有限公司逸翠园管理处
MBY25-4084,1.01,2.15,1.04,0,,2025/12/12 16:00,4.2,深圳分公司,深圳市鼎宏投资发展有限公司
MAZ25-4074,1.19,0.06,0,0,,2025/12/9 16:00,1.25,温州分公司,温州市鹿城区时代海景嘉园第三届业主
MAZ25-3938,2.32,0.65,0.01,0.14,,2025/12/3 16:00,3.12,温州分公司,温州市鹿城区时代海景嘉园第三届业主
MBY25-3859,2.27,0.03,0.02,2.71,,2025/11/28 16:00,5.03,湖北分公司,武汉市世界城置业有限公司
MAZ25-4163,4.19,0.1,0,0.98,,2025/12/22 16:00,5.27,湖南分公司,长沙市锦菱电梯有限公司
MAZ25-4083,3.31,0.88,0,0,,2025/12/12 16:00,4.19,湖南分公司,长沙市锦菱电梯有限公司
MBY25-4157,0.26,0.71,0.01,0,,2025/12/15 16:00,0.98,湖南分公司,湖南速通电梯有限公司
